          source           |     relationship     |          target           
 Hildebrand                | Associate Of         | Pope Gregory VII
 Hillary Clinton           | Spouse Of            | Bill
 Hillary Clinton           | Spouse Of            | Bill Clinton
 Hillary Clinton           | Leader Of            | State Department
 Hilmia Berberovitch       | Interacted With      | Serbian Orthodox Church o
 Hilmia Berberovitch       | Member Of            | Ustashis
 Himmler                   | Lives In             | Bavaria
 Himmler                   | Attended             | Canterbury School
 Himmler                   | Founder Of           | SS
 Himmler's brother         | Member Of            | Maria Laach
 Hincmar of Reims          | Lives In             | Reims
 Hippolytus                | Employer Of          | Christ and Antichrist
 Hitler                    | Supporter Of         | Abyssinia
 Hitler                    | Supporter Of         | Austria
 Hitler                    | Enemy Of             | Chancellor Dollfuss
 Hitler                    | Founder Of           | Croatia
 Hitler                    | Adversary Of         | Czechoslovakia
 Hitler                    | Enemy Of             | Dictator Dolfuss
 Hitler                    | Enemy Of             | Dollfuss
 Hitler                    | Enemy Of             | France
 Hitler                    | Employer Of          | Franz von Papen
 Hitler                    | Leader Of            | Germany
 Hitler                    | Leader Of            | Nazi Party
 Hitler                    | Adversary Of         | Poland
 Hitler                    | Lives In             | Potsdam
 Hitler                    | Member Of            | Roehm's Free Corps
 Hitler                    | Founder Of           | Slovakia
 Hitler                    | Employer Of          | Von Papen
 Hitler                    | Employer Of          | Yugoslavia
 Hitler                    | Opponent Of          | Yugoslavia
 Hjalmar Schact            | Employee Of          | Reichsbank
 Hjalmer                   | Spouse Of            | Virginia Brandt Berg
 Hlinka Andrej             | Leader Of            | people's party
 H. Norman Schwarzkopf     | Child Of             | Herbert Norman Schwarzkop
 H. Norman Schwarzkopf     | Parent Of            | H. Norman Schwarzkopf Jr.
 H. Norman Schwarzkopf     | Leader Of            | New Jersey State Police
 Ho Chi Minh               | Founder Of           | French Communist Party
 Ho Chi Minh               | Leader Of            | North Vietnam
 Hok Kuen Chow             | Lives In             | Bangkok
 Holland Lodge No. 8       | Lives In             | New York City
 Holy Father               | Leader Of            | Vatican
 Holy Roman Emperor        | Spouse Of            | Barbara Cilli
 Holy Roman Emperor        | Employer Of          | Diet at Worms
 Holy Roman Emperor        | Founder Of           | Order of the Dragon
 Holy Roman Emperor        | Adversary Of         | Pope Leo de Medici
 Holy See                  | Ally Of              | Francis Joseph
 Holy See                  | Supporter Of         | Zentrum
 Homeland Security         | Employer Of          | DHS Office of Intelligenc
 Honoré de Balzac          | Employer Of          | About Catherine de´Medici
 Honorius II               | Founder Of           | Templars
 Honorius III              | Superior Of          | Conrad
 Honorius III              | Employer Of          | Innocent
 Honorius IV               | Superior Of          | Fra Filippo of Mantua
 Horace Dutton Taft        | Founder Of           | Taft School
 Horace White              | Works For            | Perseus Digital Library
 Horst Grillmayer          | Employee Of          | BND
 Horst Grillmayer          | Employee Of          | Bundesnachrichtendienst
 Hosius                    | Lives In             | Corduba
 Hosty                     | Employee Of          | FBI
 Hosty                     | Employee Of          | FBI
 House of Colonna          | Member Of            | Julio-Claudian dynasty
 House of Colonna          | Works For            | Vatican
 House of Guise            | Employer Of          | Louise de Guise
 Howard Levey              | Founder Of           | Church of Satan
 Howard Wilkinson          | Works For            | Cincinatti.com
 Howie Howe                | Attended             | meeting of polio research
 Howie Howe                | Employee Of          | Yale University
 H. R. Hall                | Employee Of          | British Museum
 H. Robertson              | Leader Of            | Commonwealth Forces in Ja
 Hubbard                   | Associate Of         | Parsons
 Hubbard                   | Partner Of           | Parsons
 Hubbard                   | Spouse Of            | Sara Northrup
 Hubert Cieslik            | Lives In             | rectory of the church of 
 Hubert H. Humphrey        | Subordinate Of       | Lyndon Baines Johnson
 Hubert Schiffer           | Lives In             | rectory of the church of 
 Hubert Walter             | Member Of            | Exchequer
 Hubert Walter             | Niece/Nephew Of      | Ranulf de Glanvill
 Hugh                      | Lives In             | Australia
 Hugh                      | Leader Of            | Cluny
 Hugh                      | Sibling Of           | Jackson
 Hugh                      | Employee Of          | Prisoners
 Hugh                      | Employee Of          | Van Helsing
 Hugh Angleton             | Leader Of            | American Chamber of Comme
 Hugh Angleton             | Parent Of            | James Jesus Angleton
 Hugh Angleton             | Owner Of             | National Cash Register Co
 Hugh Angleton             | Employee Of          | OSS
 Hugh de Payen             | Founder Of           | Knights Templar
 Hugh Hefner               | Student Of           | Kinsey
 Hugh Hefner               | Founder Of           | Playboy
 Hugh Jackman              | Collaborator Of      | Van Helsing
 Hugh Latimer              | Associate Of         | Nicholas Ridley
 Hugh Latimer              | Opponent Of          | Rome
 Hugh Latimer              | Leader Of            | Worcester
 Hugh of Burgundy          | Ally Of              | Richard the Lionheart
 Hugh O'Shaughnessy        | Works For            | The Guardian
 Hugh Shelton              | Member Of            | Joint Chiefs of Staff
 Hugh Ward                 | Lives In             | 544 Camp Street
 Hugh Ward                 | Member Of            | Anti-Communism League of 
 Hugh Ward                 | Member Of            | Minutemen
 Hugo Banzer Suárez        | Associate Of         | Banzer Plan
 Hugo Banzer Suárez        | Founder Of           | Banzer Plan
 Hugo Banzer Suárez        | Employee Of          | US military
 Hugo Lassalle             | Lives In             | rectory of the church of 
 Hugues                    | Lives In             | Auxerre
 Hugues                    | Leader Of            | Council assembled in Avig
 Hugues                    | Parent Of            | Pierre
 Hugues de La Palu         | Enemy Of             | Val Louise
 Hugues de Payen           | Founder Of           | Templars
 Hugues de Payens          | Interacted With      | Baldwin II of Jerusalem
 Hugues de Payens          | Founder Of           | Knights Templar
 Hugues de Payens          | Founder Of           | Poor Knights of Christ an
 Hugues de Payens          | Interacted With      | Warmund
 Hugues le Noir            | Leader Of            | France
 Huma Abedin               | Member Of            | Muslim Brotherhood
 Humbert de Beaujeu        | Superior Of          | Gui de Montfort
 Humberto Castelo Branco   | Student Of           | Advanced War College
 Humberto Castelo Branco   | Leader Of            | Brazil
 Humberto Delgado          | Founder Of           | Portuguese National Liber
 Humberto Medeiros         | Superior Of          | Paul Shanley
 Hume                      | Colleague Of         | Leverson
 Hume                      | Collaborator Of      | Ricard Leverson
 Hung Fendwich             | Employee Of          | Selenia
 Hunneric                  | Child Of             | Genseric
 Hunt                      | Employee Of          | CIA
 Hunt                      | Friend Of            | William F. Buckley
